Tweet ID,Tweet Text, Information Source, Information Type,Informativeness
2.96E+17,Desejo os meus sinceros pêsames a todas as famílias de #SantaMaria. Que Deus conforte todas as famílias! #TODOSDesejamForçasASantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,At least 220 killed in Brazil nightclub fire: At least 220 people have died in a fire that swept through a night... http://t.co/vQWfw17R,Media,Affected individuals,Related and informative
2.96E+17,Minha solidariedade a #SantaMaria e a todos os Gaúchos.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Quantas vidas foram tiradas, sonhos foram perdidos... Que Deus conforte os familiares, nesse momento tão triste e desesperador #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @guihermeleicam: Tristeza é pouco pra o que estou sentindo agora ao ler a notícia da tragédia em #SantaMaria. Que Deus conforte os fa ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @jornaldacbn: Rodoviária de Porto Alegre confirma pelo seu twitter @rodoviariapoa ônibus extras para #SantaMaria,Media,Not applicable,Related and informative
2.96E+17,"RT @BBCBreaking: Death toll from fire at nightclub in Santa Maria in southern #Brazil has now reached 245, police say http://t.co/KOjmSdhw",Media,Affected individuals,Related and informative
2.96E+17,"RT @BBCWorld: VIDEO: At this time of sadness, we are together: #Brazil President Dilma Rousseff as fire kills at least 245 http://t.co ...",Media,Sympathy and support,Related and informative
2.96E+17,RT @luthd: foi na boate kiss e levou um kiss da morte,Outsiders,Not applicable,Related - but not informative
2.96E+17,#Brazillian Barbecue: 245 people dead in Brazil nightclub fire http://t.co/ijQETyY3,Media,Affected individuals,Related and informative
2.96E+17,RT @fernandesml01: #SantaMaria Meu coração e minhas orações estão com vocês... não tem como nao sentir um vazio mesmo nao tendo familiar ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @cnnbrk: 245 people killed in Brazil nightclub fire, police tell state news agency. http://t.co/MKONrvLf",Media,Affected individuals,Related and informative
2.96E+17,Deus há de confortar essaa familias... 245 novas estrelas no céu esta noite. (@ Boate Kiss) http://t.co/k67A4DTQ,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"@pires_cleo Programação da Boate Kiss de Santa Maria neste sábado 26/01, noite da tragédia: http://t.co/BSzkAzYM",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @portalR7: [ATUALIZADA]: Polícia faz recontagem e número de mortos é de 232 http://t.co/XFdCP57p #R7 #SantaMaria,Media,Affected individuals,Related and informative
2.96E+17,RT @guihermeleicam: Tristeza é pouco pra o que estou sentindo agora ao ler a notícia da tragédia em #SantaMaria. Que Deus conforte os fa ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @BBCBreaking: #Brazil nightclub death toll revised to 230 by fire services as victims' families gather at scene in Santa Maria http:/ ...,Media,Affected individuals,Related and informative
2.96E+17,"RT @DaniAlbuqerque: Um bombeiro pegou o celular de um corpo, e nele havia 104 chamadas perdidas da mãe Sem palavras #SantaMaria",Outsiders,Sympathy and support,Related and informative
2.96E+17,Oh no! :( @rapplerdotcom: More than 150 dead in Brazil nightclub fire. Read: http://t.co/4rJNknLh,Media,Affected individuals,Related and informative
2.96E+17,RT @SelMyAddiction: #PrayForBrazil AND #PrayForSantaMaria! we from USA loves you! :(,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @cnnbrk: 245 people killed in Brazil nightclub fire, police tell state news agency. http://t.co/MKONrvLf",Media,Affected individuals,Related and informative
2.96E+17,#SantaMaria meu deus que horror ! coitados dos familiares !! ):,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @nouisfeelings: #PrayForBrazil hug me gringas,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @ZaynDaily: #prayforsantamaria 245 teenagers died last night in nightclub fire in southern my country. brazil needs your prayers and  ...,Media,Sympathy and support,Related and informative
2.96E+17,Over 200 dead in Brazil nightclub fire: Over 200 dead in Brazil nightclub fire http://t.co/IcTWR8WK,Media,Affected individuals,Related and informative
2.96E+17,"According to Band TV, there were so many dead that to transfer to the sports center was necessary to use trucks. #SantaMaria",Media,Other Useful Information,Related and informative
2.96E+17,"Fire! Fire! Fire! belongs in the oven, fireplace, firepit, or other SAFE places. MUSIC is not about FIRE!!! #brazil RIP sweet people.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @h0ran4ttack: `alô a senhora poderia vir a boate Kiss para reconhecer o corpo do seu filho?` CARALHO, COMO ISSO DEVE DOER.",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"RT @FletcherGalaxy: #prayforbrazil eu to impressionada, as gringas que nos odiavam, estão mandando forças",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @guihermeleicam: Tristeza é pouco pra o que estou sentindo agora ao ler a notícia da tragédia em #SantaMaria. Que Deus conforte os fa ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @SkyNewsBreak: UPDATE: Police in Brazil say 231 people have died after a fire at a nightclub in the Santa Maria area of Rio Grande do ...,Media,Affected individuals,Related and informative
2.96E+17,"RT @MOLEQEBAITOLA: ''Um bombeiro pegou o celular de um corpo, e nele havia 104 chamadas perdidas da mãe Sem palavras #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Deus espalhe sua misericórdia.#SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @coriscando: A tragédia na boate Kiss no Rio Grande do Sul já é a segunda maior do Brasil com 245 mortos, que Deus possa cuidar de todos",Outsiders,Affected individuals,Related and informative
2.96E+17,RT @maria_ressa: 245 dead in Brazil nightclub fire http://t.co/khvpz3PI via @rapplerdotcom,Media,Affected individuals,Related and informative
2.96E+17,Todo o meu amor e respeito a todos de #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,BBC News - In pictures: Brazil nightclub fire http://t.co/4mFhlZoW,Media,Other Useful Information,Related and informative
2.96E+17,Celso Portiolli pegou a Bruna para ser a Rainha da Desgraça ? É isso mesmo #Produção ????? #DomingoLegal #SantaMaria,Not labeled,Not labeled,Not related
2.96E+17,"RT @_SophiaTirulipa: `alô a senhora poderia vir a boate Kiss para reconhecer o corpo do seu filho?` CARALHO, COMO ISSO DEVE DOER.",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,Que tal ganhar muitos seguidores reais ? Só hoje 27/01 #addseguidores http://t.co/OJ6zQpZP #SantaMaria,Not labeled,Not labeled,Not related
2.96E+17,"Today, 01.27, in Santa Maria, Brazil, 245 people died in a fire at a nightclub. Now, many victims who survive… http://t.co/lDTIphq3",Media,Affected individuals,Related and informative
2.96E+17,The Lede Blog: Fire at a Nightclub in Southern Brazil: Scenes from an intense fire that ripped through a nightclub crowded with unive...,Media,Affected individuals,Related and informative
2.96E+17,RT @pqpeedro: 245 novas estrelas brilharão no céu hoje a noite.#TODOSDesejamForçasASantaMaria #SantaMaria #ForçaSantaMaria #prayforsanta ...,Outsiders,Affected individuals,Related - but not informative
2.96E+17,RT @pqpeedro: 245 novas estrelas brilharão no céu hoje a noite.#TODOSDesejamForçasASantaMaria #SantaMaria #ForçaSantaMaria #prayforsanta ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @RELLEDOTCOM: At least 245 killed in Brazil nightclub fire http://t.co/eHgOKr5F,Media,Affected individuals,Related and informative
2.96E+17,Infelizmente só se nota que os locais estão improprios ou com problemas quando acontecem tragédias. #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,#SantaMaria#BrasilDesejaForçasAsVitimasDeSantaMaria#ForçaSantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @Duffygary: Filing on @bbcworld and @bbcworldservice constantly on #Brazil fire - hard to take in such a tragedy - so many young live ...,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,@Estadao Face do dono da boate Kiss  https://t.co/bzVPGuag,Not labeled,Not labeled,Not related
2.96E+17,Brazil Nightclub Fire Kills at Least 245 - Wall Street Journal: LivemintBrazil Nightclub Fire Kills at Least 245... http://t.co/sJjIVMl6,Media,Affected individuals,Related and informative
2.96E+17,RT @monteirosflavia: Vamos ajudar.. Repassem por favor!! #SantaMaria http://t.co/HBhShFJA,Outsiders,Donations and volunteering,Related - but not informative
2.96E+17,gente a boate kiss tem pagina no facebook @santamaria,Not labeled,Not labeled,Not related
2.96E+17,RT @MarceloBranco: Evite a Redenção e proximidades do HPS. Osvaldo bloqueada p chegada de helicopteros. #santamaria,Media,Caution and advice,Related and informative
2.96E+17,"RT @Sbt_Carrossel: Daqui à pouco, todas as informações pelo Jornalismo do SBT. #SantaMaria",Media,Not applicable,Related - but not informative
2.96E+17,RT @CNN: At least 245 killed in Brazil nightclub fire Update: http://t.co/kRCR6AXm,Media,Affected individuals,Related and informative
2.96E+17,RT @Galvaoeron: Bombeiros: os celulares não param de tocar nos bolsos das pessoas mortas e isso está doendo na gente. #SantaMaria#Pray ...,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @tiranofabiorex: [ENEM 2013] O que conduz calor melhor que o ferro? a)cobre b)madeira c)Boate Kiss,Not labeled,Not labeled,Not related
2.96E+17,"RT @gabichanas: De tudo que ouvi, o relato que mais me partiu o coração: os celulares dos mortos não param de tocar. #SantaMaria",Outsiders,Other Useful Information,Related and informative
2.96E+17,RT @zerohora: Plano de prevenção contra incêndio de boate em Santa Maria estava vencido. #tragediaemSM  http://t.co/TsjTgzTT,Media,Other Useful Information,Related and informative
2.96E+17,@Harry_Styles @zaynmalik @Louis_Tomlinson @Real_Liam_Payne @NiallOfficial PLEASE PRAY FOR US THIS IS VERY SAD #SantaMaria x20,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @MOLEQEBAITOLA: Enquanto muitos fazem piadinhas,poucos sabem a dor que os familiares dessas pessoas estãopassando #SantaMaria http:// ...",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Boa terde, mais não tão boa assim. Meus sinceros sentimentos aos familiares das v´timas da trágédia em #SantaMaria, RS http://t.co/NznJLi81",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Que tal ganhar muitos seguidores reais ? Só hoje 27/01 #addseguidores http://t.co/0Owhpkkh #SantaMaria,Not labeled,Not labeled,Not related
2.96E+17,"não tenho condições para ir a Santa Maria,mas tenho 3 coisas fundamentais neste momento fé,sentimento e oração para rezar #Força #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Que Deus conforte e dê forças a todos que sofrem com essa tragédia! #Luto #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#CalypseirosOramPorSantaMaria em solidariedade às famílias afetadas pela tragédia na Boate Kiss http://t.co/eaiMcSnl @CentralCalypso,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Partiu pro aniver da minha mala favorita. Boa noite!! — com Angélica Lunardi em Boate Kiss. https://t.co/OxjY5m5g,Not labeled,Not labeled,Not related
2.96E+17,"Jesus Christ, the Brazil nightclub fire story is just horrible.",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"Corpos recolhidos  boate Kiss: 232. Além destes, ocorreram mortes nos Hospitais de SM . Número oficial pode chegar a 245. Feridos - 131.",Media,Affected individuals,Related and informative
2.96E+17,RT @AP: BREAKING: Police lower death toll in Brazil nightclub fire to 232. -SS,Media,Affected individuals,Related and informative
2.96E+17,RT @sintomeus: VIDEO DOS PRIMEIROS SOCORROS AS VITIMAS DA TRAGEDIA DA BOATE KISS !... http://t.co/Kp5PeLZd,Media,Other Useful Information,Related and informative
2.96E+17,245 killed in deadly nightclub fire in southern #Brazil -  http://t.co/gAHHaIoO,Media,Affected individuals,Related and informative
2.96E+17,"Precisam-se de Doadores de sangue URGENTE, repassem o endereço do HEMOCENTRO de #SantaMaria: Av. Pres. Vargas… http://t.co/4ScOnkLc",Media,Donations and volunteering,Related and informative
2.96E+17,RT @Novidadesrbd: Caramba o pior são tantos jovens q tinham uma vida pela frente sonhos ! #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"#SantaMaria relato de uma adolecente que estava láQuando acendeu bateu no teto e começou a pegar fogo,eles do palco chogavam o que tinham",Eyewitness,Affected individuals,Related and informative
2.96E+17,iPaly @ppaly Só quero ver se o @mp_rs vai apurar se houve propina para a boate Kiss poder funcionar com a... http://t.co/hiAPsnBE,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @CP24: The death toll from a fire at a nightclub in Brazil has risen to 245.,Media,Affected individuals,Related and informative
2.96E+17,"VAMOS DIVULGAR!!! RT @zerohora: #tragediaemSM Neste link, informações para quem quer ajudar: http://t.co/mllkK7RG",Media,Donations and volunteering,Related and informative
2.96E+17,RT @LucillaTurrini: @kunalnayyar Pray for the families of 230 young people who died this morning in a fire at a nightclub in Brazil. #Pr ...,Outsiders,Affected individuals,Related and informative
2.96E+17,Deveriam ter mais respeito pela tragédia dos outros. Cretinos que estão fazendo piada vão ter o que merecem na pós-vida. #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Affected individuals,Related - but not informative
2.96E+17,Seguidores Reais? Eu ganho no #addseguidores! Esse site arrebenta 27/01 visita lá http://t.co/OJ6zQpZP #SantaMaria,Not labeled,Not labeled,Not related
2.96E+17,RT @_Heloisa_Helena: Central de Apoio #SantaMaria - todas Informações para Ajudar! RT @ProfGiseleLenzi: Para quem puder ajudar...  http: ...,NGOs,Infrastructure and utilities,Related - but not informative
2.96E+17,"RT @zerohora: #tragediaemSM Neste link, informações para quem quer ajudar: http://t.co/tGfHhDQZ",Media,Donations and volunteering,Related and informative
2.96E+17,RT @LucasnaRede_: Noticia triste e lamentável.Chocado com o número de pessoas q foram atingidas nesse acidente em #SantaMaria.Que Deus c ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,232 mortes confirmadas e 116 feridos  #SantaMaria,Media,Affected individuals,Related and informative
2.96E+17,RT @Estadao: Músico que tocava na boate Kiss morreu: ele voltou para buscar sua gaita: http://t.co/SHTMmBDW,Media,Affected individuals,Related and informative
2.96E+17,RT @AP: BREAKING: Police lower death toll in Brazil nightclub fire to 232. -SS,Media,Affected individuals,Related and informative
2.96E+17,RT @BBCBreaking: People screamed but security tried to keep only exit shut - eyewitness accounts from #Brazil as fire kills 230 http:/ ...,Media,Other Useful Information,Related and informative
2.96E+17,"RT @MinJulioCesar: “Um bombeiro pegou o celular de um corpo, e nele havia 104 chamadas perdidas da mãe Sem palavras #SantaMaria! Isso d ...",Outsiders,Sympathy and support,Related and informative
2.96E+17,"RT @_Heloisa_Helena: Certos comentários horríveis sobre #SantaMaria melhor nem responder Calado ficarei, pois que a língua que falo é d ...",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @BBCBreaking: People screamed but security tried to keep only exit shut - eyewitness accounts from #Brazil as fire kills 230 http:/ ...,Media,Affected individuals,Related and informative
2.96E+17,@coroneldoblog @folha_com Aviões da Base Aérea da FAB em Santa Maria também trazem vítimas do incêndio da Boate Kiss para Porto Alegre,Media,Affected individuals,Related and informative
2.96E+17,@rbstv_rs aqui esta o relato de um jovem que conseguiu se salvar http://t.co/dl26LsLB #SANTAMARIA,Media,Other Useful Information,Related and informative
2.96E+17,VOCÊ ACHA QUE DINHEIRO VALE MAIS QUE 245 VIDAS? DESCULPE MAIS NAO DAR PRA ENTENDER A SOCIEDADE #SANTAMARIA,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @Estadao: Músico que tocava na boate Kiss morreu: ele voltou para buscar sua gaita: http://t.co/SHTMmBDW,Media,Other Useful Information,Related and informative
2.96E+17,'Complete panic' as 232 killed in Brazil nightclub fire - USA TODAY http://t.co/sjRn8I9y,Media,Affected individuals,Related and informative
2.96E+17,"#SantaMaria - #Dilma deixou agora há pouco o CMD, onde estão os corpos das 232 pessoas mortas no incêndio http://t.co/NUU4blo0",Media,Affected individuals,Related and informative
2.96E+17,"RT @OsVersos: 245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Affected individuals,Related and informative
2.96E+17,"RT @OsVersos: 245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @EikeBatiiista: É triste saber que no Brasil o dinheiro vale mais que a vida.#TODOSDesejamForçasASantaMaria #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Affected individuals,Related and informative
2.96E+17,"RT @BBCBreaking: Death toll in #Brazil nightclub fire rises to 180, police in southern city of Santa Maria say http://t.co/96A7ztoK",Media,Affected individuals,Related and informative
2.96E+17,"@RealBoobooFivel A tragedy happened today in Brazil,a nightclub caught fire and 232 were confirmed dead, u could use this &gt; #ForçaSantaMaria",Media,Affected individuals,Related and informative
2.96E+17,"além das pessoas ficarem comentando td a hr sobre o ocorrido em #SantaMaria,ainda falam errada,não foram 245 mortos,foram 232.",Outsiders,Affected individuals,Related and informative
2.96E+17,"luto tbm é respeito, eu não iria querer a foto do meu filho morto nas redes sociais #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"@giorgino11 Good, tragedy struck! In Rio Grande do Sul in Brazil hears a fire in a nightclub! Many people died .. I am very sad.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @cnnbrk: Nightclub fire in #Brazil: Club was 1,000 people over capacity, official says. http://t.co/MKONrvLf",Media,Other Useful Information,Related and informative
2.96E+17,RT @HuffingtonPost: UPDATE: At least 245 dead in Brazil nightclub fire  http://t.co/SvQN37yP,Media,Affected individuals,Related and informative
2.96E+17,"RT @cnnbrk: Nightclub fire in #Brazil: Club was 1,000 people over capacity, official says. http://t.co/QBffED9h",Media,Other Useful Information,Related and informative
2.96E+17,RT @Estadao: Músico que tocava na boate Kiss morreu: ele voltou para buscar sua gaita: http://t.co/SHTMmBDW,Media,Affected individuals,Related and informative
2.96E+17,R.IP to all those people who died in Brazil in that Tragic Nightclub fire. My heart goes out to the family.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @OsVersos: 245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Affected individuals,Related and informative
2.96E+17,"RT @JornalOGlobo: Maioria das vítimas da tragédia em #SantaMaria tinha entre 16 e 20 anos, diz GloboNews. http://t.co/z8g0jHQC",Media,Other Useful Information,Related and informative
2.96E+17,RT @ItsJillJensen: Waking up to some sad news from the Brazilian Jillianators :/ please everyone #PrayForSantaMaria #PrayforBrazil &lt;3 ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @apl_de: Just heard what happened in #SantaMaria. So terrible :( My heart &amp; prayers are with their family &amp; friends &amp; #Br ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,A todas esas personas que juegan con el dolor de las familias de las victimas en #SantaMaria miren #VayanseAlCarajo #Insensibles,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @GarotaCiume: O brasil todo está. #ForçaSantaMaria #SantaMaria #BrasilDesejaForçasAsVitimasDeSantaMaria http://t.co/oGQdB7z6,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @Dagolberto_Telo: Alberto Rodrigues se emocionando na Itatiaia.  Tantos jovens morreram  #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Vídeo mostra resgate de vítimas duranteo incêndio de boate em #SantaMaria na maior tragédia da história gaúcha http://t.co/5h16Roza,Media,Affected individuals,Related and informative
2.96E+17,cada coisa chocante que aconteceu na tragédia de SM que me faz chorar. #TODOSDesejamForçasASantaMaria #ForçaSantaMaria #SantaMaria #luto,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"245 mortos, 245 futuros destruídos, 245 famílias com o coração partido e 245 sonhos sem se tornarem realidade. #SantaMaria",Outsiders,Affected individuals,Related - but not informative
2.96E+17,Fechar as portas com medo de que saiam sem pagar ... bem vindo ao Brasil colega! #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"RT @RoLombardiReal: RT gente! ATENÇÃO #SantaMaria avisa que precisam de: enfermeiros, auxiliares, psicólogos, psiquiatras. Contato: Bia  ...",Media,Donations and volunteering,Related and informative
2.96E+17,"Hoje é um dia daqueles para aprendermos a valorizar mais as pessoas que amamos, ficou evidente que podemos perde-las do nada.#SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @byancamota: Caralho, olha o cartaz da banda que tava tocando na boate https://t.co/dsWhZSsU … :O #SantaMaria",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"RT @Estadao: #SantaMaria Boate tentou impedir saída, exigindo pagamento de conta, dizem Bombeiros: http://t.co/OS4FFme5",Media,Other Useful Information,Related and informative
2.96E+17,RT @itsdylanbeadles: So you hate Brazil cause they are the best fans? Stop with it. They needs our help. Praying for you Brazil. #SANTAMARIA,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @Kathi_lehnen: Todos os jovens morreram um pouco, impossível não se por no lugar!! Triiste demais! #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @stanleyburburin: Maioria das vítimas da tragédia em #SantaMaria tinha entre 16 e 20 anos, diz GloboNews. #SantaMaria Então a coisa.. ...",Media,Other Useful Information,Related and informative
2.96E+17,''Bombeiros acham corpos de namorados abraçados''  #ForçaSantaMaria #TODOSDesejamForçasASantaMaria #SantaMaria,Outsiders,Affected individuals,Related and informative
2.96E+17,RT @Estadao: #SantaMaria: Hospital divulga nome dos 29 feridos internados no local: http://t.co/9yyQ0sA7,Media,Affected individuals,Related and informative
2.96E+17,#SantaMaria: Banda que se apresentava em boate tinha hábito de fazer shows pirotécnicos http://t.co/W1uz7t3o,Media,Other Useful Information,Related and informative
2.96E+17,"RT @DrAlexConcorde: TopStory: Horror in Brazil: More than 230 Killed, 200 Injured, By Nightclub Fire http://t.co/GTBfPHh5",Media,Affected individuals,Related and informative
2.96E+17,Girl On Fire (Live Form Kiss Boate) @katyfatale,Not labeled,Not labeled,Not related
2.96E+17,"RT @StellaSoares: A dor e a revolta da tragédia em #SantaMaria é enorme.Mas que a emoção não mascare os fatos.Omissão,ganância,negligênc ...",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @ForumChaves: O Hospital de Pronto Socorro de POA está recebendo vítimas da tragédia em #SantaMaria e precisa de doadores de sangue!  ...,Outsiders,Donations and volunteering,Related and informative
2.96E+17,Brazil nightclub fire kills 232 people http://t.co/EUOSxvMF,Media,Affected individuals,Related and informative
2.96E+17,RT @AP: BREAKING: Police lower death toll in Brazil nightclub fire to 232. -SS,Media,Affected individuals,Related and informative
2.96E+17,Deadly Brazil fire video: 'Kiss' nightclub blaze kills over 200 in Santa Maria http://t.co/04q9GS6k,Media,Affected individuals,Related and informative
2.96E+17,Perfil do facebook de 1 sobrevivente da Boate Kiss.   http://t.co/9D7A4pSd http://t.co/d6QjppKT,Eyewitness,Other Useful Information,Related - but not informative
2.96E+17,Nossas orações estão voltadas às vítimas e familiares de #SantaMaria #ForçaSantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @Estadao: #SantaMaria: 115 mortos já foram reconhecidos: http://t.co/9yyQ0sA7,Media,Affected individuals,Related and informative
2.96E+17,"RT @JornalOGlobo: Maioria das vítimas da tragédia em #SantaMaria tinha entre 16 e 20 anos, diz GloboNews. http://t.co/z8g0jHQC",Media,Other Useful Information,Related and informative
2.96E+17,"RT @ebcnarede: Dono da Boate Kiss, palco do incêndio em #SantaMaria, se apresenta à polícia ainda nesta tarde http://t.co/jBGKrNVh #Forç ...",Media,Other Useful Information,Related and informative
2.96E+17,RT @Estadao: #SantaMaria: 115 mortos já foram reconhecidos: http://t.co/9yyQ0sA7,Media,Affected individuals,Related and informative
2.96E+17,"RT @DailyStarLeb: 232 die in smoke, stampede in Brazil club fire: A blaze raced through a crowded nightclub in southern Brazil ear... ht ...",Media,Affected individuals,Related and informative
2.96E+17,"RT @Estadao: #SantaMaria: Garota pediu socorro pelo Facebook: 'Incêndio na KISS socorro', postou às 03h20: http://t.co/9yyQ0sA7",Media,Other Useful Information,Related and informative
2.96E+17,Gostei de um vídeo @YouTube http://t.co/AHB7V5sRêndio na Boate KISS em Santa Maria - RS 27 de Janeiro de 2013,Outsiders,Other Useful Information,Related and informative
2.96E+17,More than 200 Dead in Brazilian Nightclub Inferno:      Nightclub Fire in Brazil Kills at Least 232 More »  http://t.co/DptQrkXB,Media,Affected individuals,Related and informative
2.96E+17,"RT @ARQRIO: ♪ Eu te ofereço o sol que brilha forte,. Te ofereço a dor do meu irmão #SantaMaria #Missa @WebTVRedentor @REDEVIDA",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @plusp3rry: Sim, esse era o cartaz do evento da boate kiss o que ainda me deixou mais surpreso http://t.co/Rs54W6Ue",Not labeled,Not labeled,Not related
2.96E+17,"Brazil nightclub fire kills more than 230 people: BRASILIA, Brazil (AP) — Flames raced through a crowded nightcl... http://t.co/9QJcBsR6",Media,Affected individuals,Related and informative
2.96E+17,"245 katao patay sa sunog sa isang sikat na nightclub sa Brazil, bilang ng mga nasawi posibleng madagdagan pa.",Outsiders,Affected individuals,Related and informative
2.96E+17,o cartaz da banda que tocou na boate KISS em santa maria era de uma caveira pegando fogo FALO NADA .,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,#RemaDigitalMedia Timeline: Fire in nightclub kills 232 in Brazil: (Reuters) - A fire killed at least... http://t.co/J8yB7XxR #YahooNews,Media,Affected individuals,Related and informative
2.96E+17,RT @_Heloisa_Helena: #DoeSangue em qualquer lugar é Amor Incondicional! RT @ClaudiaCostin: Hemocentro de #SantaMaria - Urgente (55) 3221 ...,NGOs,Donations and volunteering,Related and informative
2.96E+17,"RT @BBCWorld: VIDEO: At this time of sadness, we are together: #Brazil President Dilma Rousseff as fire kills at least 245 http://t.co ...",Media,Sympathy and support,Related and informative
2.96E+17,"@naosalvo Seria muito bom se nós blogueiros postasse nas fan pages uma imagem com as informações, não acha? #SANTAMARIA",Outsiders,Not applicable,Related - but not informative
2.96E+17,RT @SelMyAddiction: #PrayForBrazil AND #PrayForSantaMaria! we from USA loves you! :(,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#ForçaSantaMaria #SantaMaria #TODOSDesejamForçasASantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#Brasil - pensando na minha terra natal... Sending my thoughts 2 all the victims of fire in #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @LucasnaRede_: Noticia triste e lamentável.Chocado com o número de pessoas q foram atingidas nesse acidente em #SantaMaria.Que Deus c ...,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Embajador Augusto Ocampos va a #SantaMaria , lugar del incendio de discoteca, a 310 kilómetros de Porto Alegre, para asistir a paraguayos",Outsiders,Other Useful Information,Related and informative
2.96E+17,RT @BandaArmandinho: Estou perplexo e abalado com o incêndio na boate Kiss. Meus sentimentos aos familiares.  Estou muito triste.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @RealityShowBBB: Olha o cartaz da banda que tocaria em #SantaMaria onde aconteceu a tragédia 245 pessoas morreram. É muita coincidênc ...,Outsiders,Affected individuals,Related - but not informative
2.96E+17,É impressionante saber que vivemos em uma país em que uma comanda vale mais do que uma vida. Força #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
